"id";"eventoId";"contatoId";"status";"dataConvite";"dataStatus";"token";"qrcode_valor";"qrcode_base64"
"816";"14";"165";"Validado";"2025-09-17 19:09:32";"2025-11-25 13:29:59";"a8mrvqk3z83lsso5o9";"a8mrvqk3z83lsso5o9";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAIQAAACECAYAAABRRIOnAAAGMUlEQVR4AeyX3W4dOQyDz9f3f+cs0JtGbNZar8YeeYYBUhwe/dEUATW/vvxjBb4p8OvjHyvwTQEb4psY/vj52BB2QVDAhghyGNgQ9kBQwIYIchjYEE080IWGDdFlE0142BBNFtGFhg3RZRNNeNgQTRbRhYYN0WUTTXjYEE0W0YWGDdFlE014vN4QTfbQhkbZEMAH9v2qcnDtbO2vGOI8jSuGmA9rsc6fxWVDzA50fm8FbIje+9nOzobYLnnvgZcb4uvr63PlbyafztL82TiMb7z2g5iv8xVrfRVr/yq+3BBVQq6/VwEb4l79202/zRDtlDCh3wosNwTEGwtj/JtV4R+9yRDnaWuIca3XfMWz+VoPcT6MsdZfjZcb4mrC7rdWARtirb7HdbchjlvZWsLHGwLizc3kmr35WT7Mzc/43R0/3hB3C/i0+TbE0zY6+x7JtyFEkLfDxxtC/w8A8eZrXA0BMR8i1vzT8eMNcfqCdvO3IXYr3nyeDdF8QbvpLTeE3ugMXy0AxJuv87N5mq84q8/i2i/DWb9qfLkhqgRdv1cBG2Kv3n+mNf1kQzRdzF20LjcExJsNNbxaGIj8dB6M45qfYYj9oIazebPxyw0xS8D5vRSwIXrt43Y2NsTtK+hFoGyI7O/mq+OZfBBvcpavcYj1yh/Gce2n9auxzp/FZUPMDnR+bwXeZ4je+7idnQ1x+wp6ESgbAuJNnX0ejOshxiFinZfdaM2fxdofIh+4Fmf8IM7L8rN42RDZAMfPUsCGOGtfy9naEMslPmtA2RCzNzWTB+JN1P4Z1v4Q+0HE2u/q+qy/zlMMka/Gq/21X9kQ2tD4bAX2GeJsnV7D3oZ4zar/20MvN4TeNMUwvolKG2I+zGHtl/HRuGLtl2GIfLN+WTybV41fbogqIdffq4ANca/+7abbEO1Wci+hsiEg3kgY49kbOZufyQmRX9Yf5vJ1ftZf8zMMkU+WPxsvG2J2oPPvVmA834YY6/O6qA3xupWPH1w2RHYjq3G49mZmfGA8D8Zx7Q9r88frnY+WDTE/0hWdFbAhOm/nBm42xA2idx5ZNgTEG5ndUIj5Ko7WK87yZ+MQ+eg8xdofYj1EPFuv+Yoh9lc+VVw2RJXAe+rPeKkNccaetrG0IbZJfcagsiH0xumzsziMbyLEuPaDcVz5QMzP4jDOVz7aTzGM+8E4rv2uxmVDXE3I/e5VwIa4V/92022Idiu5l9ByQ0C8ibM3V/Nhrh/EfJVb+2dxzYfYfzau+Yph3F/5VvFyQ1QJ1uvdYUYBG2JGrRfk2hAvWPLME8uGgHjjIGK9iRk5iPUQ8Ww/naf1EPtr/iyGcT+IcRjjbD7E+iw/i5cNkQ1w/CwFbIiz9rWcrQ2xXOKzBpQNoTdZcSaH5mdY+8H4hmo/rc/iEPtDxFk/7a9Y6xVn+Vlc+2W4bIh/H+DIiQrYECdubSFnG2KhuCe2LhsC4k2FtXhWZIh8snq9yRnO+sHc/Kzf6njZEKsJuv9eBWyIvXq3n2ZDtF/RXoKXGyK7ubPxTA7tB/Fma1z7QcyfjWu+4mx+lg+RH4yx9vt8PlNfXW6IqelObqeADdFuJfcSsiHu1b/d9OWGgPHNgxifVQjm6iHm642HGK/ygdgPItb+MI4rX62v4uWGqBJ0/V4FbIi9erefZkO0X9FegscbIrupEG+y5sM4nuUP1vVjSPvNYoh8fxxS+PJ4QxTe7tIfFLAhfhDlzV/ZEG/e/g9vf5whspsM4xsMMQ4R/6Dh0q9gPF/fWyXzOENUBXl7vQ3xdgfI+20IEeTtcLkh9MZluLoQ4APx7sIfrP2VTxbX/AxrP/jDBf7+rPm78XJD7H6Q59UUsCFq+j2u2oZ43EprD7rcEPD3XYT//132PIi9s3y9+TBXD3P5s3yyfI3DtXwuN4QSNj5LARvirH0tZ2tDLJf4rAFlQ3y7yZ8dn1Xe2Zmz9Vm+xhVn/DRfcVavca2fxWVDzA50fm8FbIje+9nOzobYLnnvgTZE7/1sZ2dDbJe890Abovd+trOzIbZLvn5gZYINUVHvgbU2xAOXWnmSDVFR74G1NsQDl1p5kg1RUe+BtTbEA5daeZINUVHvgbU2xIVLfUKrfwAAAP//Ua6bzAAAAAZJREFUAwDRdgePSrCpBgAAAABJRU5ErkJggg=="
"817";"14";"279";"Recusado";"2025-09-17 19:09:32";"2025-10-07 11:42:58";"y6a8cohqakrmcb4bvy";NULL;NULL
"818";"14";"164";"Recusado";"2025-09-17 19:09:32";"2025-10-22 16:47:05";"1rjszmj1nhh6jzkdjy";"1rjszmj1nhh6jzkdjy";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAIQAAACECAYAAABRRIOnAAAAAXNSR0IArs4c6QAAAERlWElmTU0AKgAAAAgAAYdpAAQAAAABAAAAGgAAAAAAA6ABAAMAAAABAAEAAKACAAQAAAABAAAAhKADAAQAAAABAAAAhAAAAADOBoV4AAAFNklEQVR4Ae2cy05kMQxE6dH8/y8zLGZBDouScdw3josVheNXuRRHNOL1+fX14S8z8J+BP2bCDHxnwIL4zoa//7AgLIKFAQtiocPAgrAGFgYsiIUOAwvCGlgYsCAWOgwsCGtgYcCCWOgwsCCsgYUBC2Khw8CCsAYWBiyIhQ4DC8IaWBj4u6BfgNfr9Quv37uoP99gPTxPe7QSFU/Zo/mi55k/6u8bIsrY5ectiMsHHG3Pgogydvn59BuC/GR3GONldz7jZetjPdF40fOsn5j10B7FviGijF1+3oK4fMDR9iyIKGOXn9/+hiBf0R0X3bGMT39lZ73EWX/GI2Z82onZH+1Z7Bsiy+Bl/hbEZQPNtmNBZBm8zL/8DXEaX2pnc0cTn9bP7np8Q+xmtHk8C6L5AHeXb0HsZrR5vOvfENE3AN8Yyj96/nS9+IY4fUJvrs+CeDPhp6ezIE6f0JvrK39DqB385n4/ojuf51lvtr+sP+vJYt8QWQYv87cgLhtoth0LIsvgZf7b3xBq576bP9bDnV1tZ7/MR/vT2DfE0xM4LL8FcdhAni7Hgnh6AoflT78huJMP6+9HOdzhrD9q/5EAP2B8mI+DviGOG8mzBVkQz/J/XHYL4riRPFtQ+g2xe+cqOriTiZU/7dn6VX7GZ/4oVvmi8XjeNwQZGY4tiOECYPsWBBkZjtNvCPLHncmdp+yMF8W747N+1qPy0V+dp535qrFviGqGm8W3IJoNrLpcC6Ka4Wbx028ItSOjfKgdynyMTzvj0U5/hRlPnaed+aPx1HnGZ36FfUMohobZLYhhA1ftWhCKoWH29BtC7TTFp/LnTlTnVT7aGU/lo53xiBmfduJofPpnsW+ILIOX+VsQlw00244FkWXwMv/0GyK785Q/d7A6z/nQn1jFU3aVj3bGYz08T7vyp53xFPYNoRgaZrcghg1ctWtBKIaG2V9fO+cz0zN3nIrFdPSnXcXb7a/ysb5ofnU+a1f1K7tvCMXQMLsFMWzgql0LQjE0zL79DaF27G5+mY/x1U5W52knVvl5/rR6WJ9vCDIyHFsQwwXA9i0IMjIcpz/L2M1fdCcz/+4d/e562A/zsz+ez2LfEFkGL/O3IC4baLYdCyLL4GX+5W+I7A7kzmQ8zkPZeZ6Y/io/7YxHrM5X52c9xL4hyMhwbEEMFwDbtyDIyHCc/izjaf7UTmZ93NG0RzHzR+PTP5o/mk/F9w2hGBpmtyCGDVy1a0EohobZ07+HyO7AKN/cmcQqnqo3Gi+aLxuf/uyHdlUf7b4hyMhwbEEMFwDbtyDIyHCcfkOQv+wOYzzuSGWP5lfnmV+dZ32nnWd9xL4hyMhwbEEMFwDbtyDIyHC8/Q1BPrmDaSeO7lz6M182Hv0ZX+WnXWEVX9VDu8pHu28IMjIcWxDDBcD2LQgyMhyXvyFO45c7Vu3saP3Z+Mp/d73szzcEGRmOLYjhAmD7FgQZGY6ve0OoHUw7cXZH05/xo3pT/swXjc/zviHIyHBsQQwXANu3IMjIcFz+hlA7MMs/43On0s58PE87/dV5+vO8ikc741Vj3xDVDDeLb0E0G1h1uRZENcPN4m9/Q3BnVvOxOx93OOPTvrs/5tsdX8XzDaEYGma3IIYNXLVrQSiGhtnb/3+IYfMqb9c3RDnFvRJYEL3mVV6tBVFOca8EFkSveZVXa0GUU9wrgQXRa17l1VoQ5RT3SmBB9JpXebUWRDnFvRJYEL3mVV6tBVFOca8EFkSveZVXa0GUU9wrgQXRa17l1VoQ5RT3SvAPRxmMDaEnuTQAAAAASUVORK5CYII="
"819";"14";"169";"Validado";"2025-09-17 19:09:32";"2025-10-23 21:54:59";"o6bbg9n2ceo420wc05";"o6bbg9n2ceo420wc05";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAIQAAACECAYAAABRRIOnAAAAAXNSR0IArs4c6QAAAERlWElmTU0AKgAAAAgAAYdpAAQAAAABAAAAGgAAAAAAA6ABAAMAAAABAAEAAKACAAQAAAABAAAAhKADAAQAAAABAAAAhAAAAADOBoV4AAAFMElEQVR4Ae2cy24cSQwEPYv9/1/e9cEHd1wSFKtnpsnwyQm+k4liAxL0+u/3v1/+k4E/DPwjEzLwNwMK4m82/P8vBaEILgwoiAsdAgWhBi4MKIgLHQIFoQYuDCiICx0CBaEGLgwoiAsdAgWhBi4MKIgLHQIFoQYuDCiICx0CBaEGLgz8e0E/AK/X6wdRPw/hr2+wftXOTlK+qj/zMf405vzV/L4QVcaG+yuI4QuujqcgqowN929/Q5Cf7g1jvuoNpn/qh/6sn3DKz/iqP+OJu/0zny8EGVmOFcRyAXB8BUFGluPj3xDks3rj3n1jWY/9EnM+Yuajnfju/KyXsC9EYmiZXUEsW3gaV0EkhpbZb/+GuJvPdLN5o+nftd8937vz+0K8m/Evr6cgvnxB725PQbyb8S+v9/hviPQNkL4ZuB/mo3069oWYvuHifAqiSNh0dwUxfcPF+W7/huANL/YX3Zmf3wC0E9M/FjzswH4Opy+n84UoUzY7QEHM3m95OgVRpmx2wPFviHffZNbjTU52rjfF07+an/7M92nsC/HpDXxZfQXxZQv5dDsK4tMb+LL6r983c9TfuuaN5njJzv3Qn3bmp/1p2BfiaRu7uV8FcTPBT0uvIJ62sZv7bX9D8Mamm0r/0/Ol+qz36X5Yn/3Tzv6JGU97wr4QiaFldgWxbOFpXAWRGFpmP/6zDPL37hvIeryptLPfrj/zEaf69Cdmf7R3sS9El8Fh8Qpi2EK74yiILoPD4o9/Q/BG8uZV7eQ75aN/wsyX/Gn/9DypPvtN2BciMbTMriCWLTyNqyASQ8vs7W+IdIN546r8Mv/d+Vgv9Xu3P+tz/mp95iP2hSAjy7GCWC4Ajq8gyMhy3P6GSDeNN47+iX/6Mx/j6Z/szJfima+KmZ/1mS/Zq/mYn9gXgowsxwpiuQA4voIgI8vx8d+pJJ/pBtI/3UTaGX+6HvN/W/3qvJyH2BeCjCzHCmK5ADi+giAjy/Ht3xDkN928dKO7+VJ95q/2w3jWq+ZjPPMzX/JnPLEvBBlZjhXEcgFwfAVBRpbj9s8yyF+6Ybx5p+OZv9tP6o/16E/MflJ8sjMf61WxL0SVseH+CmL4gqvjKYgqY8P9j39DkC/ewHTz6M98KZ7+xN38Kb5aj/4Jd+dP+X0hEkPL7Api2cLTuAoiMbTM3v6GSDct2cl31b9607v1GE98d/+ct1qP/RL7QpCR5VhBLBcAx1cQZGQ5bn9D8KbdzWe6mbSzv2RP/VfjU33WY37aiav5GU/sC0FGlmMFsVwAHF9BkJHluP0NQf6qN5DxxLyRtCfMfpivak/1aGd+2rv4dH5fiO5GhsUriGEL7Y6jILoMDos//g1BfnizaSfu3sRqPdZPOOVP9pS/ame9Ln++ENUNDPdXEMMXXB1PQVQZG+5/+zfEu/njDU03lvbUL/Mn/5T/dL7UT7L7QiSGltkVxLKFp3EVRGJomf3x3xDdG8z4dPNpZzz1k+zVfMx/GvtCnGb04fkUxMMXeLp9BXGa0Yfnu/0bIt3Qu/ljfd5s4tP9MD/7YT3603439oW4m+GH5VcQD1vY3e0qiLsZflj+498Q776BrMcbTfvp/XTzp35pZ//d+sznC0FGlmMFsVwAHF9BkJHluP23rpfzN258X4hxK+0NpCB6/I2LVhDjVtobSEH0+BsXrSDGrbQ3kILo8TcuWkGMW2lvIAXR429ctIIYt9LeQAqix9+4aAUxbqW9gRREj79x0Qpi3Ep7AymIHn/johXEuJX2BvofmNyHJHI6tt4AAAAASUVORK5CYII="
"820";"14";"234";"Recusado";"2025-09-17 19:09:32";"2025-10-07 11:42:59";"sw011exod3fnnjeg81";NULL;NULL
"821";"14";"256";"Ausente";"2025-09-17 19:09:32";"2025-11-25 13:48:32";"xpm5dz7ehgztiesr9t";"xpm5dz7ehgztiesr9t";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAIQAAACECAYAAABRRIOnAAAGRUlEQVR4Aeyd227eMAyD8+3937nrerOKw6wKihM7YbEW5XSgTBHQv6v9+vCXFfimwK/DX1bgmwI2xDcx/Otx2BB2QVDAhghyGNgQ9kBQwIYIchjYEIt4YJUxbIhVNrHIHDbEIotYZQwbYpVNLDKHDbHIIlYZw4ZYZROLzGFDLLKIVcawIVbZxCJzvN4Qi+xhmTHahgAOuO5blYMxd5ZfjWt+hmE8H5wbz+bJ4m1DZASO76WADbHXvqZPa0NMl3gvgtMN8fHxcZz5ncmZcUG80doPYlz7QYxn9RpXrP27WPt38emG6A7k+nsVsCHu1X859tsMsZwSHuhLgemGgHiDYYy/pir8gFo/vdlKBbFfNa75GYbIB2Oc9evGpxuiO6Drr1XAhrhW7+XZbIjlV3TtgNsbIvtMkMVVbs1XrPlPw9sb4mkLufs9NsTdG7ibX/htCBHk7fB1hoD47/zsMwLU8nc31OsMsfvCZs9vQ8xWeLP+NsRmC5s97nRD6I3OcPXBML7xMI4rH8R8jSvW92g8w1qf4axfNz7dEN0BXX+tAjbEtXr/ZVv0Nxti0cXcNdbphoB4g6GHZwsDcT694Rk/xPpqPsR6qOGMrxo/3RDVAZy/lgI2xFr7uH0aG+L2Faw1QNsQenNnY5VP+bI4xBut9dCLZ/zKdzZW/ipuG6JK6Py1FXifIdbex+3T2RC3r2CtAdqGgHhz9Xkwjmu+Yoj1EHGWr3G92RqfjWE8v/LDOB/Gce2X4bYhMgLH91LAhthrX9OntSGmS7wXwemGgHjTspsNMR8i1nrFVbkh9oeIq/0h1us8MI5387W+i083RHcg19+rwHWGuPedZv+hAjbED4V6S1rbENWbq8Jm9RBvMESs/RRDzFc+xRDzIWLtr/UazzDE/t1+GV8WbxsiI3B8LwVsiL32NX1aG2K6xHsRnG4IvYEQb6TKA+O49lOs/RRn+RD5s3ztrxhiP41X+2f5WVz5M3y6ITJCx+9WYMxvQ4z1eV3UhnjdyscPbhsCajcTevkQ6yHi8XOPf/5vD73BUOt3yJf2k3DKr/mKIc4HEWt+FbcNUSV0/toK2BBr7+fy6WyIyyVfm7BtiO7N1HqIN1HjVQzjft31QOwPEVf7Q6++yqf5bUNoQ+P/KbDH39sQe+zpsiltiMuk3oOobQiINw8i1puvssA4H2Icxlj7Kz/E+ixf67P8LK79IM5TjStfF7cN0R3A9WspYEOstY/bp7Ehbl/BWgO0DaE3T7E+F+LN1LjirJ/mK4bIl/WDmK/9tB5ifhaHWr72y+bReBW3DVElvD7fjBUFbIiKWi/ItSFesOTKE9uGgHgTYYz1JiqGWn3lsX9yYdz/T87oG2K95sI4fnW+8mW4bYiMwPG9FLAh9trX9GltiOkS70XQNoR+BshwJk+3vtpf85W/G9d+irV/FUPtM0vWv22I/xM4sqMCNsSOW5s4sw0xUdwdW7cNAfGGwVw8W2QYz1/lh9ivW3/2ZxCdp20IbWi8twI2xN77O316G+J0SfdueLoh9MZ1cSav9ofxzYZxXPspP4zrNT/rp/mKu/XHcWjLIT7dEEM2B5dXwIZYfkXXDmhDXKv38mzTDQHx5sIYdxXLbq7GFUOcrzoPxHoYY+2v82gcYj+Nd/F0Q3QHdP21CtgQ1+q9PJsNsfyKrh3wcYaAeGOzm9yVe9D/q7XGFX8lDX5AfI+mVvtpveLHGUIfaFxTwIao6fX4bBvi8SuuPXB7Q0C8sdlNhZivcmm9Ys1XXM3XeojzZf0g5mu/Kt7eENUHO3+sgA0x1ud1URvidSsfP3i6IfQGZng87r9R7XccR0iCeGOr+aHZJ9B6iP0h4s+S8AfGce0fij+BxhV/prT+TDdEazoXX66ADXG55GsT2hBr7+fy6U43BMQbCT2cKQLj/loPtXytr2KIfGfffIj9q/Np/umGUALjvRSwIfba1/RpbYjpEu9F0DbEt5t4XPG7yjubU/kUV/mzeo1nWPmz/CzeNkRG4PheCtgQe+1r+rQ2xHSJ9yKwIfba1/RpbYjpEu9FYEPsta/p09oQ0yW+nqDDaEN01HtgrQ3xwKV2nmRDdNR7YK0N8cCldp5kQ3TUe2CtDfHApXaeZEN01HtgrQ1x4lKf0Oo3AAAA//8vVl2CAAAABklEQVQDAKDm14B1pw6BAAAAAElFTkSuQmCC"
"822";"14";"159";"Recusado";"2025-09-17 19:09:32";"2025-10-07 11:43:00";"t6wsdjofx59uwu0qwv";NULL;NULL
"823";"14";"211";"Recusado";"2025-09-17 19:09:32";"2025-10-07 11:43:01";"312817l3bi26bpmiz9";NULL;NULL
"824";"14";"406";"Ausente";"2025-09-17 19:09:32";"2025-11-25 13:48:31";"lrzzme1vimi26fkjqp";"lrzzme1vimi26fkjqp";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAIQAAACECAYAAABRRIOnAAAGRklEQVR4Xu2dy7bbOAwE4///6JksZjGST1zq06AUX1a24AuNIkBRus7rn9//fvlPBf5T4CUQsvB/BQRCHg4KCIRACIQM/FkBM4R0mCFkwAwhAxcVsGRcFGqXZgKxS6Qv+ikQF4XapZlA7BLpi34KxEWhdmkmELtE+qKfAnFRqF2aCcQukb7oZw3E6/W6ONVMM/p847yec3taL7Vv7TMq/HkU0ofmF4iTQm3AqT8FpLULxElBM0T3AZwZwgwx+7aTdmSbAtvx6cxwXh+lXBqPSgaNn+rV6nOebzxD/G0OUwAF4qiAQEDJeNtB8FRlhjgJZIY4HuqmUzoB2uq/PEO0KZsETcenGk2C0nrSgKXrX52BBKIsGS1AAgFbNN0BqaBmiM8KmCHMEPfeQ6Q7+NsyBD220pljtT6UEW+/h1jtcDo+CZSeCQRi+N3B3YIKhGcIYuBgN0OQAiDn0zUyLRnkLvnT3jPQGYnopf7kH42/3VMGCSYQpJAZ4qMCBFBqpx1shoB3JZaM4yeM5f7+tbxkEPFkT3dYLUj4jSjNR+sn/8k+Pb5AwGM0BUQgwnsIEpTstAPITuPTUwP1FwiBqO4tCCACkABuxx8vGalDafv0lE0Z5G576m/aXiDCp5CngUoDnLYXCIGIShgBZsm4GSgKSGt/PEO0DrT96QyQHsLS8dr1/2396wzxtENpAKk92Z/2d/X8AnH6zwAEoi06q5GF8dMAUnuyP+zu8unrDEECpi+fyOO7+SX/aL3f5r9ADGcgOsQSQGRfvSEEQiAOCgiEQMwCcXeKpJre1uw0JdN6SB+6Sr+7hNQZghwmh8hOgpGdxj/bBSJVIEyxaUAoQLQjzRCd4maIk37p/iBAKYO2GS5dL+FSA9EKQgtsMwYFhMZP+9N4pNfdGe7Nv9+EVb9jRw62grYCp/OTHGnAKAOQvd0waX8zRFgyBCI8RE7vMDNEtsdJfxptPEPQhG2AqUSRnUoIpXASnDJIO36qb9peIMovpgiwdgOkAW3bC4RAHBgSCIGYBYJSJtXMNsWl/ekMkI5H/rclg85EZE/9qTMECSIQR4VIj2m7QIACZojPApkh0i0U3stsVzLouZv0Tncs1UyyU4lL19vORyUiXQ+1J3udIQQi+wUXAijVM91QAgHv7toAUIApI5khTgqlhFMAyE4Boh1EASR/aH0toLR+so+XjKcFIcFRkOHfmJqej8Yj/am/QJwUunuHpvNRQAVi+G8z0wDVAQgzkkCEF02WjOoDuPW/U0kBIjvtiOn+dJHUHkrT8Vf7/+bP6m8qKWBkXy0IlQgqCdSf1k/jU/9WP4EID5EUMIEAQdPn9Jbw6f5pSheIYSDuTol0BiCgab132ymDpetZfg8xvYPHBQi/mEoFXt1+XI+nD5UkWAtUO35bEmj+1i4Q3R+avelPwAlEi+zN/Slg4zsIbhbT+VIg0/HTcNRniHTC6fYCMauoQIR6TgNohggDQM2nA3T3fD8OCAoICZza0xqarq8dn+4xUjvdm6QXaaR3XTJSwWlBZG8Dtnr8NOCUIQQCIiYQx496zRDhPUSawVrgzBBw9UspmuyUUtOApzsqnX8aKNJn2j5+hkgFIYfSgNB4AvFZIYEI/24jLQkEKAFP/aftAiEQB6aWA5HW+HQHpjssbZ8+9k3vWCpxrT9v/t39+psEE4jPCqX6kN4CUT4VpRkvDQi1F4jwiyZ6ymlTrEAAsiRwKmC6A2j8FBDaoWSn9af90zMM+Uvz/7hDJR3CUoFJQJqPgKX+6XoFovyCKQ0YAWKGCGt8K2gqOO0YgThG5MeXjLtTcnqmImBpA9F81P/HP3aSABQAyhhpf8poNB75IxDwexAkIAVAIEihL3/stGTQFrn5DJEt5711mhLb9i1AVCJo/Hb95f5e/4MhApF98iYQZUmiixvaMXefGcwQZYpYvWMEYvEZoow/dqcaTRkhzSgtMOhQmCFpvNT/5fcQtODWLhCfFRSI4e8bCDg6A7TAUwaj8QVCIA6MPA4EEav9uxSoX259l7uulhQQCFJoM7tAbBZwclcgSKHN7AKxWcDJXYEghTazC8RmASd3BYIU2swuEJsFnNwVCFJoM7tAbBZwclcgSKHN7AKxWcDJXYEghTazC8RmASd3/wW8p478V+SPDgAAAABJRU5ErkJggg=="
"825";"14";"152";"Enviado";"2025-09-17 19:09:32";"2025-10-17 17:13:35";"5rz0r5glsa2byt2vfg";NULL;NULL
